COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3528007;1;-22.504125;-48.712107;1
35;3528007;1;-22.504051;-48.711978;1
35;3528007;1;-22.503962;-48.711996;1
35;3528007;5;-22.503812;-48.711920;1
35;3528007;1;-22.503993;-48.711894;1
35;3528007;1;-22.504115;-48.711294;1
35;3528007;1;-22.504131;-48.711323;1
35;3528007;1;-22.505227;-48.711070;1
35;3528007;1;-22.504419;-48.711473;1
35;3528007;6;-22.504435;-48.711467;1
35;3528007;1;-22.504388;-48.711713;1
35;3528007;1;-22.504377;-48.711846;1
35;3528007;6;-22.503939;-48.711105;1
35;3528007;1;-22.503668;-48.710943;1
35;3528007;1;-22.504485;-48.710511;1
35;3528007;6;-22.504485;-48.710511;1
35;3528007;6;-22.503538;-48.710732;1
35;3528007;1;-22.503424;-48.710776;1
35;3528007;6;-22.503287;-48.710347;1
35;3528007;1;-22.503172;-48.710537;1
35;3528007;6;-22.503209;-48.710501;1
35;3528007;6;-22.504285;-48.711210;1
35;3528007;6;-22.504390;-48.711364;1
35;3528007;1;-22.503469;-48.709318;1
35;3528007;1;-22.503630;-48.709432;1
35;3528007;1;-22.503507;-48.709222;1
35;3528007;1;-22.503373;-48.709248;1
35;3528007;1;-22.503657;-48.709383;1
35;3528007;1;-22.503459;-48.708876;1
35;3528007;1;-22.503496;-48.708909;1
35;3528007;1;-22.503515;-48.708828;1
35;3528007;1;-22.503551;-48.708729;1
35;3528007;6;-22.503551;-48.708729;1
35;3528007;1;-22.503602;-48.708676;1
35;3528007;1;-22.503663;-48.708585;1
35;3528007;1;-22.503707;-48.708503;1
35;3528007;1;-22.503750;-48.708456;1
35;3528007;1;-22.503464;-48.708952;1
35;3528007;1;-22.503798;-48.708539;1
35;3528007;6;-22.503798;-48.708539;1
35;3528007;1;-22.504141;-48.708475;1
35;3528007;6;-22.504155;-48.708418;1
35;3528007;1;-22.503910;-48.709047;1
35;3528007;1;-22.503866;-48.709135;1
35;3528007;1;-22.503812;-48.709220;1
35;3528007;1;-22.504210;-48.708576;1
35;3528007;1;-22.503979;-48.708868;1
35;3528007;1;-22.503971;-48.708885;1
35;3528007;1;-22.504041;-48.708735;1
35;3528007;1;-22.504048;-48.708766;1
35;3528007;1;-22.504130;-48.708578;1
35;3528007;6;-22.503962;-48.709658;1
35;3528007;1;-22.503784;-48.709225;1
35;3528007;6;-22.503794;-48.709433;1
35;3528007;1;-22.503813;-48.709352;1
35;3528007;1;-22.503914;-48.709181;1
35;3528007;1;-22.503891;-48.709245;1
35;3528007;1;-22.503943;-48.709056;1
35;3528007;1;-22.504048;-48.709035;1
35;3528007;1;-22.504061;-48.708841;1
35;3528007;1;-22.504111;-48.708831;1
35;3528007;1;-22.504168;-48.708692;1
35;3528007;1;-22.504227;-48.708659;1
35;3528007;1;-22.504183;-48.708553;1
35;3528007;1;-22.504205;-48.708618;1
35;3528007;1;-22.503971;-48.709090;1
35;3528007;1;-22.504238;-48.709344;1
35;3528007;1;-22.504267;-48.709307;1
35;3528007;1;-22.504296;-48.709404;1
35;3528007;6;-22.504243;-48.709465;1
35;3528007;1;-22.504573;-48.708828;1
35;3528007;1;-22.504540;-48.708793;1
35;3528007;1;-22.504561;-48.708878;1
35;3528007;1;-22.504450;-48.709092;1
35;3528007;1;-22.504373;-48.709124;1
35;3528007;1;-22.504412;-48.709181;1
35;3528007;1;-22.504256;-48.709576;1
35;3528007;1;-22.504311;-48.709503;1
35;3528007;1;-22.504379;-48.709419;1
35;3528007;1;-22.504408;-48.709284;1
35;3528007;1;-22.504476;-48.709221;1
35;3528007;1;-22.504482;-48.709210;1
35;3528007;1;-22.504462;-48.709136;1
35;3528007;1;-22.504527;-48.709114;1
35;3528007;1;-22.504559;-48.708934;1
35;3528007;1;-22.504593;-48.708920;1
35;3528007;1;-22.504657;-48.708731;1
35;3528007;1;-22.504682;-48.708771;1
35;3528007;1;-22.504693;-48.708766;1
35;3528007;1;-22.504756;-48.708645;1
35;3528007;1;-22.504831;-48.708527;1
35;3528007;1;-22.504851;-48.708504;1
35;3528007;1;-22.504425;-48.709319;1
35;3528007;1;-22.504320;-48.709454;1
35;3528007;1;-22.504189;-48.709643;1
35;3528007;1;-22.504974;-48.709841;1
35;3528007;6;-22.504847;-48.709774;1
35;3528007;1;-22.504697;-48.709622;1
35;3528007;1;-22.504754;-48.709574;1
35;3528007;1;-22.504713;-48.709576;1
35;3528007;1;-22.505078;-48.708922;1
35;3528007;1;-22.504899;-48.709079;1
35;3528007;1;-22.504673;-48.709496;1
35;3528007;1;-22.504857;-48.709337;1
35;3528007;1;-22.505131;-48.708696;1
35;3528007;1;-22.505126;-48.708783;1
35;3528007;1;-22.505061;-48.708881;1
35;3528007;1;-22.505001;-48.709099;1
35;3528007;1;-22.504939;-48.709247;1
35;3528007;1;-22.504369;-48.709875;1
35;3528007;1;-22.504975;-48.709247;1
35;3528007;1;-22.504917;-48.709332;1
35;3528007;1;-22.504945;-48.709405;1
35;3528007;1;-22.504898;-48.709443;1
35;3528007;1;-22.504899;-48.709567;1
35;3528007;1;-22.504746;-48.709676;1
35;3528007;1;-22.505139;-48.709008;1
35;3528007;1;-22.505168;-48.709016;1
35;3528007;1;-22.505195;-48.708723;1
35;3528007;6;-22.505139;-48.708849;1
35;3528007;1;-22.505033;-48.709170;1
35;3528007;1;-22.504805;-48.709724;1
35;3528007;1;-22.505195;-48.708880;1
35;3528007;1;-22.504717;-48.709691;1
35;3528007;1;-22.504757;-48.709756;1
